Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Adilabad,35,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,"11,40,834","8,30,601",72.80%,"40,974",4.90%,2004
Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,"9,60,122","6,82,227",71.10%,"54,534",8.00%,2004
Agra,69,GEN,Uttar Pradesh [2000 Onwards],Raj Babbar,Samajwadi Party,"14,30,713","6,42,675",44.90%,"57,342",8.90%,2004
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"13,82,793","5,48,391",39.70%,"77,605",14.20%,2004
Ahmednagar,39,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,"12,95,593","6,86,554",53.00%,"75,077",10.90%,2004
Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"12,03,803","5,29,138",44.00%,"1,27,976",24.20%,2004
Akbarpur,23,GEN,Uttar Pradesh [2000 Onwards],Maya Wati,Bahujan Samaj Party,"14,46,088","7,41,543",51.30%,"58,269",7.90%,2004
Akola,19,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"12,71,055","7,34,524",57.80%,"1,06,371",14.50%,2004
Aligarh,72,GEN,Uttar Pradesh [2000 Onwards],Bijendra Singh,Indian National Congress,"13,41,254","6,33,500",47.20%,"2,791",0.40%,2004
Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,45,042","8,37,257",80.10%,"1,45,124",17.30%,2004
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"15,58,094","6,56,450",42.10%,"28,383",4.30%,2004
Alleppey,15,GEN,Kerala,Dr. K. S. Manoj,Communist Party Of India (MARXIST),"9,71,154","7,28,156",75.00%,"1,009",0.10%,2004
Almora,3,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,"10,12,756","5,04,756",49.80%,"10,052",2.00%,2004
Alwar,8,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,"12,62,622","5,40,451",42.80%,"8,371",1.50%,2004
Amalapuram,9,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,"9,04,207","7,02,715",77.70%,"41,485",5.90%,2004
Ambala,1,SC,Haryana,Selja,Indian National Congress,"11,99,338","8,47,673",70.70%,"2,34,935",27.70%,2004
Amethi,21,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"13,24,991","5,89,559",44.50%,"2,90,853",49.30%,2004
Amravati,21,GEN,Maharashtra,Anant Gudhe,Shiv Sena,"12,04,881","6,75,653",56.10%,"14,234",2.10%,2004
Amreli,7,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,"10,25,515","4,75,548",46.40%,"2,030",0.40%,2004
Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,92,902","7,11,808",55.10%,"1,09,532",15.40%,2004
